sample,n,thetaEE_mean_deg,thetaEE_std_deg,energy_sum_mean_MeV,energy_sum_std_MeV,massEE_mean_MeV,massEE_std_MeV
signal,10000,72.62944728,21.178112054062186,17.499489076,2.694473651561106e-05,9.11800812286834,0.3138129802444066
background,10000,37.342415085610114,34.565144222297405,17.5,0.0,4.95575906050657,3.7353347463780033
