geometry,x17_reconstructed_equal_samples,background_reconstructed_equal_samples,total_reconstructed_equal_samples,true_x17_fraction_equal_samples,background_fraction_equal_samples
current,0.0,1447.478343,1447.478343,0.0,1.0
2pi,1915.65,1273.2245010000001,3188.8745010000002,0.6007291912551813,0.3992708087448187
4pi,1915.65,3309.3586800000003,5225.008680000001,0.36663096988386246,0.6333690301161374
padplane,3366.36,592.3166310000001,3958.6766310000003,0.8503750909175991,0.1496249090824009
