56.9547	29.2261	8.5391	27.7286	8.96038
56.9547	29.2261	8.5391	27.7286	8.96038
59.1098	21.2481	11.0009	37.8618	6.49856
59.1098	21.2481	11.0009	37.8618	6.49856
57.0884	30.7195	8.1392	26.3689	9.36029
57.0884	30.7195	8.1392	26.3689	9.36029
61.2731	18.7929	11.8452	42.4802	5.65429
61.2731	18.7929	11.8452	42.4802	5.65429
158.541	1.48484	16.3852	157.056	1.11433
158.541	1.48484	16.3852	157.056	1.11433
75.6503	11.7599	14.2553	63.8904	3.24419
75.6503	11.7599	14.2553	63.8904	3.24419
96.3479	7.47577	15.4715	88.8721	2.02801
96.3479	7.47577	15.4715	88.8721	2.02801
95.4127	87.7945	2.06244	7.61819	15.4371
95.4127	87.7945	2.06244	7.61819	15.4371
69.5077	55.6133	3.94957	13.8944	13.5499
69.5077	55.6133	3.94957	13.8944	13.5499
85.121	75.6802	2.54335	9.44083	14.9561
85.121	75.6802	2.54335	9.44083	14.9561
59.1657	37.9979	6.47142	21.1679	11.0281
59.1657	37.9979	6.47142	21.1679	11.0281
58.8187	21.6887	10.8525	37.13	6.64699
58.8187	21.6887	10.8525	37.13	6.64699
67.637	14.7173	13.2682	52.9197	4.2313
67.637	14.7173	13.2682	52.9197	4.2313
56.9383	28.6939	8.68651	28.2444	8.81298
56.9383	28.6939	8.68651	28.2444	8.81298
103.186	96.6657	1.81031	6.52038	15.6892
103.186	96.6657	1.81031	6.52038	15.6892
68.9171	54.7742	4.03421	14.1429	13.4653
68.9171	54.7742	4.03421	14.1429	13.4653
60.9493	19.0974	11.7392	41.8519	5.76026
60.9493	19.0974	11.7392	41.8519	5.76026
72.681	12.7034	13.949	59.9776	3.5505
72.681	12.7034	13.949	59.9776	3.5505
65.1154	49.0866	4.68687	16.0289	12.8126
65.1154	49.0866	4.68687	16.0289	12.8126
66.9974	51.9723	4.33761	15.025	13.1619
66.9974	51.9723	4.33761	15.025	13.1619
56.9391	28.1933	8.82749	28.7459	8.67199
56.9391	28.1933	8.82749	28.7459	8.67199
82.4726	72.4638	2.70692	10.0088	14.7926
82.4726	72.4638	2.70692	10.0088	14.7926
61.1497	42.2426	5.69405	18.9071	11.8054
61.1497	42.2426	5.69405	18.9071	11.8054
63.7979	46.9557	4.97158	16.8422	12.5279
